"id","ALUMNOS","ESPAÑOL","MATEMATICAS","INGLES","CIENCIAS_NATURALES","HISTORIA","EDUCACION_FISICA","ARTES","TECNOLOGIA","NUM_FALTAS","PARTICIPACIONES","RENDIMIENTO"
1,"LUIS HERNÁNDEZ MARTÍNEZ",85.0,90.0,88.0,92.0,89.0,95.0,87.0,90.0,5,4,"Bueno"
2,"MARÍA GARCÍA PÉREZ",60.0,70.0,65.0,62.0,58.0,60.0,65.0,68.0,15,3,"Regular"
3,"JOSÉ MARTÍNEZ LÓPEZ",90.0,85.0,88.0,92.0,91.0,93.0,89.0,91.0,3,5,"Excelente"
4,"ANA LÓPEZ HERNÁNDEZ",55.0,60.0,58.0,57.0,59.0,64.0,61.0,60.0,20,2,"Malo"
5,"CARLOS PÉREZ GARCÍA",78.0,82.0,80.0,85.0,84.0,88.0,82.0,85.0,8,4,"Bueno"
6,"LAURA SÁNCHEZ RAMÍREZ",68.0,75.0,70.0,72.0,70.0,80.0,75.0,73.0,12,3,"Regular"
7,"JUAN RAMÍREZ TORRES",95.0,92.0,94.0,93.0,94.0,97.0,96.0,94.0,2,5,"Excelente"
8,"MÓNICA FLORES DÍAZ",50.0,55.0,52.0,53.0,56.0,61.0,57.0,54.0,25,1,"Malo"
9,"JORGE MORALES CRUZ",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
10,"SILVIA TORRES LÓPEZ",70.0,65.0,68.0,72.0,70.0,75.0,73.0,71.0,10,3,"Regular"
11,"FERNANDO RUIZ MARTÍNEZ",85.0,90.0,88.0,92.0,89.0,95.0,87.0,90.0,5,4,"Bueno"
12,"ROSA RAMÍREZ HERNÁNDEZ",60.0,70.0,65.0,62.0,58.0,60.0,65.0,68.0,15,3,"Regular"
13,"PEDRO GÓMEZ PÉREZ",90.0,85.0,88.0,92.0,91.0,93.0,89.0,91.0,3,5,"Excelente"
14,"ELENA DÍAZ GARCÍA",55.0,60.0,58.0,57.0,59.0,64.0,61.0,60.0,20,2,"Malo"
15,"DAVID CRUZ MARTÍNEZ",78.0,82.0,80.0,85.0,84.0,88.0,82.0,85.0,8,4,"Bueno"
16,"LUCÍA ORTIZ RAMÍREZ",68.0,75.0,70.0,72.0,70.0,80.0,75.0,73.0,12,3,"Regular"
17,"MIGUEL MORALES TORRES",95.0,92.0,94.0,93.0,94.0,97.0,96.0,94.0,2,5,"Excelente"
18,"PAOLA HERRERA DÍAZ",50.0,55.0,52.0,53.0,56.0,61.0,57.0,54.0,25,1,"Malo"
19,"ARTURO MENDOZA CRUZ",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
20,"VERÓNICA VARGAS GARCÍA",70.0,65.0,68.0,72.0,70.0,75.0,73.0,71.0,10,3,"Regular"
21,"CAROLINA FLORES MARTÍNEZ",88.0,92.0,90.0,94.0,91.0,96.0,89.0,92.0,4,5,"Excelente"
22,"ALEJANDRO TORRES HERNÁNDEZ",75.0,78.0,80.0,82.0,79.0,85.0,81.0,80.0,9,4,"Bueno"
23,"BEATRIZ RAMÍREZ PÉREZ",60.0,65.0,62.0,61.0,63.0,68.0,66.0,65.0,16,2,"Regular"
24,"FRANCISCO MARTÍNEZ GARCÍA",85.0,90.0,87.0,88.0,91.0,94.0,86.0,89.0,6,4,"Bueno"
25,"ALICIA GARCÍA HERNÁNDEZ",55.0,60.0,57.0,59.0,58.0,64.0,60.0,58.0,21,3,"Malo"
26,"GABRIEL PÉREZ MARTÍNEZ",78.0,83.0,80.0,86.0,85.0,89.0,82.0,84.0,7,4,"Bueno"
27,"VICTORIA SÁNCHEZ RAMÍREZ",68.0,75.0,71.0,73.0,72.0,81.0,76.0,74.0,13,3,"Regular"
28,"JAVIER HERNÁNDEZ TORRES",95.0,93.0,96.0,92.0,94.0,98.0,95.0,93.0,3,5,"Excelente"
29,"TERESA DÍAZ MARTÍNEZ",50.0,55.0,54.0,52.0,53.0,61.0,58.0,56.0,26,1,"Malo"
30,"MARIO MORALES CRUZ",82.0,79.0,84.0,81.0,83.0,87.0,85.0,82.0,7,4,"Bueno"
31,"GABRIELA TORRES GARCÍA",70.0,65.0,69.0,72.0,70.0,75.0,74.0,71.0,11,3,"Regular"
32,"ALFREDO RAMÍREZ HERNÁNDEZ",85.0,89.0,87.0,90.0,88.0,92.0,86.0,88.0,6,4,"Bueno"
33,"ANGÉLICA MARTÍNEZ PÉREZ",60.0,70.0,64.0,66.0,61.0,67.0,65.0,63.0,17,2,"Regular"
34,"RAFAEL PÉREZ GARCÍA",90.0,85.0,89.0,91.0,92.0,95.0,88.0,90.0,4,5,"Excelente"
35,"PATRICIA HERNÁNDEZ LÓPEZ",55.0,60.0,56.0,58.0,60.0,65.0,61.0,59.0,22,3,"Malo"
36,"HÉCTOR LÓPEZ MARTÍNEZ",78.0,82.0,81.0,85.0,84.0,88.0,83.0,86.0,7,4,"Bueno"
37,"MONTSERRAT GARCÍA RAMÍREZ",68.0,75.0,70.0,73.0,71.0,80.0,75.0,72.0,13,3,"Regular"
38,"SERGIO MARTÍNEZ TORRES",95.0,92.0,93.0,94.0,96.0,97.0,95.0,94.0,3,5,"Excelente"
39,"ALEJANDRA DÍAZ CRUZ",50.0,55.0,53.0,54.0,52.0,60.0,56.0,55.0,26,1,"Malo"
40,"ROBERTO MORALES GARCÍA",82.0,78.0,84.0,80.0,82.0,87.0,85.0,83.0,7,4,"Bueno"
41,"ELIZABETH TORRES MARTÍNEZ",70.0,65.0,68.0,72.0,70.0,76.0,74.0,70.0,12,3,"Regular"
42,"RICARDO RAMÍREZ PÉREZ",85.0,89.0,86.0,90.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
43,"MARCELA MARTÍNEZ HERNÁNDEZ",60.0,70.0,63.0,65.0,61.0,66.0,64.0,62.0,18,2,"Regular"
44,"EDUARDO PÉREZ GARCÍA",90.0,85.0,88.0,92.0,91.0,94.0,89.0,90.0,4,5,"Excelente"
45,"YOLANDA HERNÁNDEZ MARTÍNEZ",55.0,60.0,57.0,59.0,60.0,65.0,62.0,60.0,23,3,"Malo"
46,"GUSTAVO LÓPEZ RAMÍREZ",78.0,82.0,80.0,84.0,83.0,87.0,82.0,85.0,8,4,"Bueno"
47,"ALMA SÁNCHEZ GARCÍA",68.0,75.0,71.0,72.0,71.0,79.0,74.0,73.0,14,3,"Regular"
48,"ANTONIO MARTÍNEZ PÉREZ",95.0,93.0,94.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
49,"REBECA DÍAZ HERNÁNDEZ",50.0,55.0,54.0,53.0,52.0,60.0,57.0,55.0,27,1,"Malo"
50,"SANDRA MORALES CRUZ",82.0,79.0,84.0,81.0,83.0,87.0,85.0,82.0,7,4,"Bueno"
51,"DANIELA TORRES GARCÍA",70.0,65.0,69.0,73.0,71.0,76.0,74.0,71.0,11,3,"Regular"
52,"ADRIÁN RAMÍREZ MARTÍNEZ",85.0,89.0,87.0,91.0,88.0,92.0,86.0,89.0,6,4,"Bueno"
53,"PAOLA MARTÍNEZ HERNÁNDEZ",60.0,70.0,65.0,66.0,61.0,67.0,64.0,63.0,17,2,"Regular"
54,"MARIO PÉREZ GARCÍA",90.0,85.0,88.0,91.0,92.0,95.0,88.0,90.0,4,5,"Excelente"
55,"DIANA HERNÁNDEZ MARTÍNEZ",55.0,60.0,57.0,59.0,60.0,65.0,61.0,59.0,22,3,"Malo"
56,"OSCAR LÓPEZ RAMÍREZ",78.0,82.0,80.0,85.0,84.0,88.0,83.0,86.0,7,4,"Bueno"
57,"CARMEN SÁNCHEZ MARTÍNEZ",68.0,75.0,71.0,73.0,72.0,80.0,75.0,72.0,13,3,"Regular"
58,"GERARDO MARTÍNEZ TORRES",95.0,92.0,93.0,94.0,96.0,97.0,95.0,94.0,3,5,"Excelente"
59,"CARLA DÍAZ CRUZ",50.0,55.0,53.0,54.0,52.0,60.0,56.0,55.0,26,1,"Malo"
60,"ALEJANDRO MORALES GARCÍA",82.0,78.0,84.0,80.0,82.0,87.0,85.0,83.0,7,4,"Bueno"
61,"PATRICIA TORRES MARTÍNEZ",70.0,65.0,68.0,72.0,70.0,76.0,74.0,70.0,12,3,"Regular"
62,"LUIS RAMÍREZ PÉREZ",85.0,89.0,86.0,90.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
63,"MARTHA MARTÍNEZ HERNÁNDEZ",60.0,70.0,63.0,65.0,61.0,66.0,64.0,62.0,18,2,"Regular"
64,"RAÚL PÉREZ GARCÍA",90.0,85.0,88.0,92.0,91.0,94.0,89.0,90.0,4,5,"Excelente"
65,"MONICA HERNÁNDEZ MARTÍNEZ",55.0,60.0,57.0,59.0,60.0,65.0,62.0,60.0,23,3,"Malo"
66,"MARIO LÓPEZ RAMÍREZ",78.0,82.0,80.0,84.0,83.0,87.0,82.0,85.0,8,4,"Bueno"
67,"ALMA SÁNCHEZ GARCÍA",68.0,75.0,71.0,72.0,71.0,79.0,74.0,73.0,14,3,"Regular"
68,"ANTONIO MARTÍNEZ PÉREZ",95.0,93.0,94.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
69,"REBECA DÍAZ HERNÁNDEZ",50.0,55.0,54.0,53.0,52.0,60.0,57.0,55.0,27,1,"Malo"
70,"SANDRA MORALES CRUZ",82.0,79.0,84.0,81.0,83.0,87.0,85.0,82.0,7,4,"Bueno"
71,"DANIELA TORRES GARCÍA",70.0,65.0,69.0,73.0,71.0,76.0,74.0,71.0,11,3,"Regular"
72,"ADRIÁN RAMÍREZ MARTÍNEZ",85.0,89.0,87.0,91.0,88.0,92.0,86.0,89.0,6,4,"Bueno"
73,"PAOLA MARTÍNEZ HERNÁNDEZ",60.0,70.0,65.0,66.0,61.0,67.0,64.0,63.0,17,2,"Regular"
74,"MARIO PÉREZ GARCÍA",90.0,85.0,88.0,91.0,92.0,95.0,88.0,90.0,4,5,"Excelente"
75,"DIANA HERNÁNDEZ MARTÍNEZ",55.0,60.0,57.0,59.0,60.0,65.0,61.0,59.0,22,3,"Malo"
76,"OSCAR LÓPEZ RAMÍREZ",78.0,82.0,80.0,85.0,84.0,88.0,83.0,86.0,7,4,"Bueno"
77,"CARMEN SÁNCHEZ MARTÍNEZ",68.0,75.0,71.0,73.0,72.0,80.0,75.0,72.0,13,3,"Regular"
78,"GERARDO MARTÍNEZ TORRES",95.0,92.0,93.0,94.0,96.0,97.0,95.0,94.0,3,5,"Excelente"
79,"CARLA DÍAZ CRUZ",50.0,55.0,53.0,54.0,52.0,60.0,56.0,55.0,26,1,"Malo"
80,"ALEJANDRO MORALES GARCÍA",82.0,78.0,84.0,80.0,82.0,87.0,85.0,83.0,7,4,"Bueno"
81,"PATRICIA TORRES MARTÍNEZ",70.0,65.0,68.0,72.0,70.0,76.0,74.0,70.0,12,3,"Regular"
82,"LUIS RAMÍREZ PÉREZ",85.0,89.0,86.0,90.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
83,"MARTHA MARTÍNEZ HERNÁNDEZ",60.0,70.0,63.0,65.0,61.0,66.0,64.0,62.0,18,2,"Regular"
84,"RAÚL PÉREZ GARCÍA",90.0,85.0,88.0,92.0,91.0,94.0,89.0,90.0,4,5,"Excelente"
85,"YOLANDA HERNÁNDEZ MARTÍNEZ",55.0,60.0,57.0,59.0,60.0,65.0,62.0,60.0,23,3,"Malo"
86,"GUSTAVO LÓPEZ RAMÍREZ",78.0,82.0,80.0,84.0,83.0,87.0,82.0,85.0,8,4,"Bueno"
87,"MONICA SÁNCHEZ GARCÍA",68.0,75.0,71.0,72.0,71.0,79.0,74.0,73.0,14,3,"Regular"
88,"ANTONIO MARTÍNEZ PÉREZ",95.0,93.0,94.0,92.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
89,"REBECA DÍAZ HERNÁNDEZ",50.0,55.0,54.0,53.0,52.0,60.0,57.0,55.0,27,1,"Malo"
90,"SANDRA MORALES CRUZ",82.0,79.0,84.0,81.0,83.0,87.0,85.0,82.0,7,4,"Bueno"
91,"DANIELA TORRES GARCÍA",70.0,65.0,69.0,73.0,71.0,76.0,74.0,71.0,11,3,"Regular"
92,"ADRIÁN RAMÍREZ MARTÍNEZ",85.0,89.0,87.0,91.0,88.0,92.0,86.0,89.0,6,4,"Bueno"
93,"PAOLA MARTÍNEZ HERNÁNDEZ",60.0,70.0,65.0,66.0,61.0,67.0,64.0,63.0,17,2,"Regular"
94,"MARIO PÉREZ GARCÍA",90.0,85.0,88.0,91.0,92.0,95.0,88.0,90.0,4,5,"Excelente"
95,"DIANA HERNÁNDEZ MARTÍNEZ",55.0,60.0,57.0,59.0,60.0,65.0,61.0,59.0,22,3,"Malo"
96,"OSCAR LÓPEZ RAMÍREZ",78.0,82.0,80.0,85.0,84.0,88.0,83.0,86.0,7,4,"Bueno"
97,"CARMEN SÁNCHEZ MARTÍNEZ",68.0,75.0,71.0,73.0,72.0,80.0,75.0,72.0,13,3,"Regular"
98,"GERARDO MARTÍNEZ TORRES",95.0,92.0,93.0,94.0,96.0,97.0,95.0,94.0,3,5,"Excelente"
99,"CARLA DÍAZ CRUZ",50.0,55.0,53.0,54.0,52.0,60.0,56.0,55.0,26,1,"Malo"
100,"MIGUEL ÁNGEL LÓPEZ FERNÁNDEZ",88.0,92.0,85.0,89.0,90.0,95.0,87.0,90.0,4,4,"Bueno"
101,"LORENA GARCÍA PÉREZ",60.0,68.0,64.0,62.0,58.0,61.0,65.0,68.0,17,2,"Regular"
102,"JUAN PABLO MARTÍNEZ SÁNCHEZ",90.0,87.0,88.0,91.0,92.0,93.0,89.0,91.0,3,5,"Excelente"
103,"SOFÍA RAMÍREZ GONZÁLEZ",55.0,63.0,58.0,59.0,57.0,64.0,61.0,60.0,21,3,"Malo"
104,"RICARDO PÉREZ LÓPEZ",78.0,81.0,80.0,84.0,83.0,88.0,82.0,85.0,7,4,"Bueno"
105,"ALEJANDRA HERNÁNDEZ MARTÍNEZ",68.0,75.0,72.0,71.0,70.0,79.0,75.0,73.0,14,3,"Regular"
106,"VICTOR HERRERA MORALES",95.0,94.0,96.0,93.0,94.0,97.0,96.0,94.0,3,5,"Excelente"
107,"MARÍA FERNANDA CRUZ TORRES",50.0,56.0,52.0,53.0,54.0,61.0,57.0,55.0,26,1,"Malo"
108,"RAFAEL GÓMEZ DÍAZ",82.0,79.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
109,"CLARA FLORES MARTÍNEZ",70.0,68.0,69.0,72.0,70.0,75.0,73.0,71.0,11,3,"Regular"
110,"DIEGO MENDOZA VÁZQUEZ",85.0,88.0,87.0,90.0,89.0,92.0,86.0,88.0,5,4,"Bueno"
111,"LUCÍA RIVERA HERRERA",60.0,67.0,65.0,63.0,61.0,67.0,64.0,63.0,18,2,"Regular"
112,"ANTONIO JIMÉNEZ RAMÍREZ",90.0,87.0,89.0,91.0,93.0,94.0,89.0,90.0,4,5,"Excelente"
113,"VERÓNICA MARTÍNEZ GONZÁLEZ",55.0,60.0,58.0,57.0,60.0,65.0,62.0,60.0,22,3,"Malo"
114,"GABRIELA VÁZQUEZ PÉREZ",78.0,83.0,80.0,85.0,84.0,89.0,82.0,84.0,7,4,"Bueno"
115,"ARTURO LÓPEZ MARTÍNEZ",68.0,75.0,71.0,72.0,70.0,79.0,74.0,73.0,13,3,"Regular"
116,"VALERIA GUTIÉRREZ MORALES",95.0,93.0,96.0,92.0,94.0,97.0,95.0,94.0,3,5,"Excelente"
117,"SANTIAGO DÍAZ TORRES",50.0,55.0,54.0,53.0,52.0,60.0,57.0,55.0,27,1,"Malo"
118,"EMILIANO CRUZ HERNÁNDEZ",82.0,78.0,84.0,81.0,82.0,87.0,85.0,83.0,7,4,"Bueno"
119,"ISABEL RAMÍREZ LÓPEZ",70.0,65.0,69.0,73.0,71.0,76.0,74.0,70.0,12,3,"Regular"
120,"LUIS FERNANDO MARTÍNEZ PÉREZ",85.0,88.0,86.0,90.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
121,"CARLA VILLARREAL GARCÍA",60.0,70.0,63.0,65.0,62.0,66.0,64.0,62.0,18,2,"Regular"
122,"ALBERTO HERNÁNDEZ RAMÍREZ",90.0,87.0,88.0,92.0,91.0,94.0,89.0,90.0,4,5,"Excelente"
123,"MONSERRAT PÉREZ GONZÁLEZ",55.0,60.0,57.0,58.0,59.0,65.0,61.0,60.0,23,3,"Malo"
124,"PATRICIA RUIZ MARTÍNEZ",78.0,82.0,80.0,84.0,83.0,88.0,82.0,85.0,8,4,"Bueno"
125,"ROBERTO MORALES CRUZ",68.0,75.0,70.0,73.0,71.0,80.0,75.0,72.0,13,3,"Regular"
126,"ALEXANDRA GONZÁLEZ DÍAZ",95.0,92.0,94.0,93.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
127,"JORGE FERNÁNDEZ LÓPEZ",50.0,55.0,54.0,53.0,52.0,60.0,57.0,55.0,26,1,"Malo"
128,"ANDREA RAMÍREZ PÉREZ",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
129,"SERGIO MARTÍNEZ HERNÁNDEZ",70.0,68.0,69.0,72.0,70.0,75.0,73.0,71.0,11,3,"Regular"
130,"ANGÉLICA GUTIÉRREZ MARTÍNEZ",85.0,88.0,87.0,90.0,89.0,92.0,86.0,88.0,5,4,"Bueno"
131,"RAÚL CRUZ PÉREZ",60.0,67.0,65.0,63.0,61.0,67.0,64.0,63.0,18,2,"Regular"
132,"GUADALUPE DÍAZ MARTÍNEZ",90.0,87.0,89.0,91.0,93.0,94.0,89.0,90.0,4,5,"Excelente"
133,"CAMILA HERNÁNDEZ LÓPEZ",55.0,60.0,58.0,57.0,60.0,65.0,62.0,60.0,22,3,"Malo"
134,"DAVID GARCÍA GONZÁLEZ",78.0,83.0,80.0,85.0,84.0,89.0,82.0,84.0,7,4,"Bueno"
135,"VALENTINA MARTÍNEZ PÉREZ",68.0,75.0,71.0,72.0,70.0,79.0,74.0,73.0,13,3,"Regular"
136,"MARIO LÓPEZ RAMÍREZ",95.0,94.0,96.0,93.0,94.0,97.0,96.0,94.0,3,5,"Excelente"
137,"FÁTIMA GUTIÉRREZ DÍAZ",50.0,56.0,52.0,53.0,54.0,61.0,57.0,55.0,26,1,"Malo"
138,"PEDRO CRUZ TORRES",82.0,79.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
139,"JULIETA MARTÍNEZ HERNÁNDEZ",70.0,65.0,69.0,73.0,71.0,76.0,74.0,70.0,12,3,"Regular"
140,"CARLOS RAMÍREZ PÉREZ",85.0,88.0,86.0,90.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
141,"ELENA GARCÍA MARTÍNEZ",60.0,70.0,63.0,65.0,62.0,66.0,64.0,62.0,18,2,"Regular"
142,"MIGUEL HERNÁNDEZ GONZÁLEZ",90.0,87.0,88.0,92.0,91.0,94.0,89.0,90.0,4,5,"Excelente"
143,"SOFÍA PÉREZ RAMÍREZ",55.0,60.0,57.0,58.0,59.0,65.0,61.0,60.0,23,3,"Malo"
144,"JUAN MARTÍNEZ LÓPEZ",78.0,82.0,80.0,84.0,83.0,88.0,82.0,85.0,8,4,"Bueno"
145,"LILIANA CRUZ HERRERA",68.0,75.0,70.0,73.0,71.0,80.0,75.0,72.0,13,3,"Regular"
146,"OMAR RAMÍREZ GONZÁLEZ",95.0,92.0,94.0,93.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
147,"SUSANA HERNÁNDEZ MARTÍNEZ",50.0,55.0,54.0,53.0,52.0,60.0,57.0,55.0,27,1,"Malo"
